start_date,end_date,consolidated_power_consumption_value,updated_date,status
2021-01-02 21:00:00+01:00,2021-01-02 21:30:00+01:00,68963,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 20:30:00+01:00,2021-01-02 21:00:00+01:00,70253,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 20:00:00+01:00,2021-01-02 20:30:00+01:00,71882,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 19:30:00+01:00,2021-01-02 20:00:00+01:00,73523,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 19:00:00+01:00,2021-01-02 19:30:00+01:00,74284,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 18:30:00+01:00,2021-01-02 19:00:00+01:00,74216,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 18:00:00+01:00,2021-01-02 18:30:00+01:00,73002,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 17:30:00+01:00,2021-01-02 18:00:00+01:00,71725,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 17:00:00+01:00,2021-01-02 17:30:00+01:00,69667,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 16:30:00+01:00,2021-01-02 17:00:00+01:00,67641,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 16:00:00+01:00,2021-01-02 16:30:00+01:00,67147,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 15:30:00+01:00,2021-01-02 16:00:00+01:00,67262,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 15:00:00+01:00,2021-01-02 15:30:00+01:00,68023,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 14:30:00+01:00,2021-01-02 15:00:00+01:00,68485,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 14:00:00+01:00,2021-01-02 14:30:00+01:00,69807,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 13:30:00+01:00,2021-01-02 14:00:00+01:00,71026,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 13:00:00+01:00,2021-01-02 13:30:00+01:00,72761,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 12:30:00+01:00,2021-01-02 13:00:00+01:00,74518,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 12:00:00+01:00,2021-01-02 12:30:00+01:00,73876,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 11:30:00+01:00,2021-01-02 12:00:00+01:00,72855,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 11:00:00+01:00,2021-01-02 11:30:00+01:00,71821,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 10:30:00+01:00,2021-01-02 11:00:00+01:00,71386,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 10:00:00+01:00,2021-01-02 10:30:00+01:00,71024,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 09:30:00+01:00,2021-01-02 10:00:00+01:00,70159,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 09:00:00+01:00,2021-01-02 09:30:00+01:00,68828,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 08:30:00+01:00,2021-01-02 09:00:00+01:00,67227,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 08:00:00+01:00,2021-01-02 08:30:00+01:00,66205,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 07:30:00+01:00,2021-01-02 08:00:00+01:00,65106,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 07:00:00+01:00,2021-01-02 07:30:00+01:00,64043,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 06:30:00+01:00,2021-01-02 07:00:00+01:00,62914,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 06:00:00+01:00,2021-01-02 06:30:00+01:00,62152,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 05:30:00+01:00,2021-01-02 06:00:00+01:00,60976,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 05:00:00+01:00,2021-01-02 05:30:00+01:00,60436,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 04:30:00+01:00,2021-01-02 05:00:00+01:00,59414,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 04:00:00+01:00,2021-01-02 04:30:00+01:00,59511,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 03:30:00+01:00,2021-01-02 04:00:00+01:00,59770,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 03:00:00+01:00,2021-01-02 03:30:00+01:00,60666,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 02:30:00+01:00,2021-01-02 03:00:00+01:00,61502,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 02:00:00+01:00,2021-01-02 02:30:00+01:00,63039,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 01:30:00+01:00,2021-01-02 02:00:00+01:00,63346,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 01:00:00+01:00,2021-01-02 01:30:00+01:00,63588,2023-10-23 17:38:58+02:00,FINAL
